tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,40,100.0,10.0,5,1,3.9995e-5,1.904e-6,0.316391921,0.02625935,0.022767809,1,1,1,2,1,1,1,1,80,80,80,100
0.01,40,100.0,10.0,6,1,6.2226e-5,3.547e-6,0.546520942,0.065625347,0.027798298,1,1,1,2,1,1,1,1,96,96,96,120
0.01,40,100.0,100.0,2,1,3.5917e-5,1.693e-6,0.047152752,0.010606681,0.008202323,1,1,1,2,1,1,1,1,32,32,32,40
0.01,40,100.0,100.0,3,1,3.5436e-5,1.493e-6,0.130613381,0.015613626,0.011893708,1,1,1,2,1,1,1,1,48,48,48,60
0.01,40,100.0,100.0,4,1,3.8722e-5,1.433e-6,0.199202571,0.020279113,0.013876497,1,1,1,2,1,1,1,1,64,64,64,80
0.01,40,100.0,100.0,5,1,3.8592e-5,1.943e-6,0.321006694,0.025460555,0.022274677,1,1,1,2,1,1,1,1,80,80,80,100
0.01,40,100.0,100.0,6,1,3.9744e-5,1.654e-6,0.467799689,0.030534527,0.028661343,1,1,1,2,1,1,1,1,96,96,96,120
0.01,30,1.0,1.0,2,1,3.5316e-5,1.633e-6,0.174652469,0.018554116,0.009565874,4,6,2,8,1,1,1,1,212,432,88,312
0.01,30,1.0,1.0,3,1,3.7881e-5,2.054e-6,0.445669463,0.030991011,0.012494702,5,6,7,10,1,1,1,1,524,560,872,726
0.01,30,1.0,1.0,4,1,3.6458e-5,1.493e-6,1.328331317,0.04687352,0.018098544,7,8,8,10,1,1,1,1,1492,1700,1544,894
0.01,30,1.0,1.0,5,1,4.0796e-5,1.984e-6,2.318758093,0.086612124,0.025875171,6,8,9,8,1,1,1,1,1700,1888,2624,914
0.01,30,1.0,1.0,6,1,4.3461e-5,1.523e-6,1.985545767,0.092695493,0.031034783,5,7,7,8,1,1,1,1,1384,1576,2552,1036
0.01,30,1.0,10.0,2,1,3.3713e-5,1.563e-6,0.160498913,0.017966918,0.010753294,5,9,5,20,1,1,1,1,400,756,400,1416
0.01,30,1.0,10.0,3,1,4.2259e-5,2.164e-6,2.499139044,0.08369146,0.151555264,8,10,8,10,1,8,1,1,1476,6892,1372,656
0.01,30,1.0,10.0,4,1,3.795e-5,1.713e-6,37.140505269,1.509702229,2.043620925,12,13,11,8,6,69,6,4,17644,40432,16512,2894
0.01,30,1.0,10.0,5,1,4.3922e-5,2.003e-6,1257.568536257,39.281817015,126.79522955,22,11,22,4,293,273,454,4,688860,135412,757964,1172
