tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
1.0e-8,10000,1.0,1.0,2,1,3.4575e-5,1.833e-6,0.169348803,0.01195316,0.072015061,9,16,9,64,1,1,1,1,776,1360,776,17768
1.0e-8,10000,1.0,1.0,3,1,4.2128e-5,1.603e-6,0.902117908,0.047677094,4.609351138,19,43,19,606,1,1,1,1,4512,15992,4512,1249392
1.0e-8,10000,1.0,1.0,4,1,4.803e-5,2.806e-6,11.642728897,0.294763471,71.150812913,30,122,30,1696,1,1,1,1,16592,152860,16592,10398082
1.0e-8,10000,1.0,1.0,5,1,5.5664e-5,3.216e-6,87.923303807,1.059264377,225.768593189,38,167,37,1488,1,1,1,1,34072,500908,33800,17294318
1.0e-8,10000,1.0,1.0,6,1,5.4081e-5,2.394e-6,292.724215095,3.793009066,358.523676796,47,223,49,1346,1,1,1,1,60920,1116332,64240,18770452
1.0e-9,10000,1.0,1.0,1,1,4.7509e-5,3.216e-6,0.020788132,0.005422633,0.004956651,3,4,3,8,1,1,1,1,80,80,80,168
1.0e-9,10000,1.0,1.0,2,1,4.0165e-5,1.583e-6,0.175758038,0.015720093,0.096320609,9,16,9,64,1,1,1,1,776,1360,776,18152
1.0e-9,10000,1.0,1.0,3,1,4.5194e-5,2.866e-6,1.13109341,0.051137087,6.688019813,20,46,20,736,1,1,1,1,4752,16736,4752,1699496
1.0e-9,10000,1.0,1.0,4,1,4.9623e-5,3.656e-6,9.30062095,0.352727512,157.938252452,32,143,32,2450,1,1,1,1,17892,188468,17892,21333222
1.0e-9,10000,1.0,1.0,5,1,5.3951e-5,3.547e-6,66.508182971,1.240641276,567.630719588,41,192,41,2408,1,1,1,1,39152,647020,38432,40744044
1.0e-9,10000,1.0,1.0,6,1,5.5644e-5,2.686e-6,368.945761567,6.037103878,1043.760215828,50,268,50,2302,1,1,1,1,72688,1567328,72352,48616732
0.01,10000,1.0,1.0,7,1,5.0745e-5,3.176e-6,3.740861557,0.125480469,0.080300667,9,7,8,6,1,1,1,1,4096,1644,3716,682
0.01,10000,1.0,1.0,8,1,4.6176e-5,1.794e-6,2.450297627,0.122121285,0.091566312,6,7,7,6,1,1,1,1,2332,1700,3312,624
0.001,10000,1.0,1.0,7,1,4.8901e-5,1.793e-6,8.453198958,0.186293548,0.054697518,17,15,16,16,1,1,1,1,11752,9412,11512,4008
0.001,10000,1.0,1.0,8,1,4.9272e-5,2.325e-6,17.632674654,0.209912604,0.109973177,16,15,14,14,1,1,1,1,12836,10840,10388,3518
0.0001,10000,1.0,1.0,7,1,5.1066e-5,2.625e-6,14.653372133,0.223863753,0.222136221,20,36,21,34,1,1,1,1,19612,37748,20684,17048
0.0001,10000,1.0,1.0,8,1,4.9412e-5,1.814e-6,25.876674224,0.252720878,0.1808541,22,34,21,30,1,1,1,1,27436,48456,25412,15938
1.0e-5,10000,1.0,1.0,7,1,5.851e-5,2.604e-6,89.815103371,1.332516189,6.928375503,30,123,30,156,1,1,1,1,33208,421260,32564,333730
1.0e-5,10000,1.0,1.0,8,1,7.7365e-5,3.166e-6,114.486675111,1.104618858,5.758048394,27,115,27,124,1,1,1,1,38248,443476,38112,251054
1.0e-6,10000,1.0,1.0,7,1,5.9702e-5,2.845e-6,168.486273398,2.400613152,31.14375473,37,162,38,326,1,1,1,1,48776,695284,53684,1501836
1.0e-6,10000,1.0,1.0,8,1,6.7436e-5,3.597e-6,240.337868283,2.449264691,29.505443101,37,166,37,268,1,1,1,1,63668,872796,62652,1098052
1.0e-7,10000,1.0,1.0,7,1,6.0463e-5,2.825e-6,338.058682012,3.411318651,120.991766719,47,196,46,628,1,1,1,1,77304,969336,76512,5723598
1.0e-7,10000,1.0,1.0,8,1,5.4091e-5,2.354e-6,451.010063572,5.220883099,117.892166807,49,215,48,512,1,1,1,1,101456,1379132,98976,4324800
1.0e-8,10000,1.0,1.0,7,1,5.6937e-5,2.244e-6,547.624852887,5.26773251,407.674915474,55,249,54,1082,1,1,1,1,96188,1502260,94040,16421380
1.0e-8,10000,1.0,1.0,8,1,6.0854e-5,2.254e-6,799.859426405,7.062922779,400.647459282,60,252,58,888,1,1,1,1,136540,1907836,125068,13264812
1.0e-9,10000,1.0,1.0,7,1,5.6545e-5,3.247e-6,800.184687596,11.642523589,1302.776170281,62,321,64,1894,1,1,1,1,117540,2464516,122344,43800090
1.0e-9,10000,1.0,1.0,8,1,5.1186e-5,2.184e-6,1412.42097912,12.811562879,1250.546720294,67,307,67,1536,1,1,1,1,170796,2905188,170796,35441520
